2024-11-12 16:31:25 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2024-11-12 16:31:25 0 [Note] InnoDB: Number of pools: 1
2024-11-12 16:31:25 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
2024-11-12 16:31:25 0 [Note] InnoDB: Initializing buffer pool, total size = 16777216, chunk size = 16777216
2024-11-12 16:31:25 0 [Note] InnoDB: Completed initialization of buffer pool
2024-11-12 16:31:25 0 [ERROR] InnoDB: Upgrade after a crash is not supported. The redo log was created with MariaDB 10.4.8.
2024-11-12 16:31:25 0 [ERROR] InnoDB: Plugin initialization aborted with error Generic error
2024-11-12 16:31:25 0 [Note] InnoDB: Starting shutdown...
2024-11-12 16:31:25 0 [ERROR] Plugin 'InnoDB' init function returned error.
2024-11-12 16:31:25 0 [ERROR] Plugin 'InnoDB' registration as a STORAGE ENGINE failed.
2024-11-12 16:31:25 0 [Note] Plugin 'FEEDBACK' is disabled.
2024-11-12 16:31:25 0 [ERROR] Unknown/unsupported storage engine: InnoDB
2024-11-12 16:31:25 0 [ERROR] Aborting
2024-11-12 16:31:27 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2024-11-12 16:31:27 0 [Note] InnoDB: Number of pools: 1
2024-11-12 16:31:27 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
2024-11-12 16:31:27 0 [Note] InnoDB: Initializing buffer pool, total size = 16777216, chunk size = 16777216
2024-11-12 16:31:27 0 [Note] InnoDB: Completed initialization of buffer pool
2024-11-12 16:31:27 0 [ERROR] InnoDB: Upgrade after a crash is not supported. The redo log was created with MariaDB 10.4.8.
2024-11-12 16:31:27 0 [ERROR] InnoDB: Plugin initialization aborted with error Generic error
2024-11-12 16:31:27 0 [Note] InnoDB: Starting shutdown...
2024-11-12 16:31:27 0 [ERROR] Plugin 'InnoDB' init function returned error.
2024-11-12 16:31:27 0 [ERROR] Plugin 'InnoDB' registration as a STORAGE ENGINE failed.
2024-11-12 16:31:27 0 [Note] Plugin 'FEEDBACK' is disabled.
2024-11-12 16:31:27 0 [ERROR] Unknown/unsupported storage engine: InnoDB
2024-11-12 16:31:27 0 [ERROR] Aborting
2024-11-12 16:31:53 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2024-11-12 16:31:53 0 [Note] InnoDB: Number of pools: 1
2024-11-12 16:31:53 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
2024-11-12 16:31:53 0 [Note] InnoDB: Initializing buffer pool, total size = 16777216, chunk size = 16777216
2024-11-12 16:31:53 0 [Note] InnoDB: Completed initialization of buffer pool
2024-11-12 16:31:53 0 [Note] InnoDB: Setting log file E:/Android Git/sistema_educativo_padres/Sistema-educativo-padres/xamppMoodle/mysql/data/ib_logfile101 size to 5242880 bytes
2024-11-12 16:31:53 0 [Note] InnoDB: Renaming log file E:/Android Git/sistema_educativo_padres/Sistema-educativo-padres/xamppMoodle/mysql/data/ib_logfile101 to E:/Android Git/sistema_educativo_padres/Sistema-educativo-padres/xamppMoodle/mysql/data/ib_logfile0
2024-11-12 16:31:53 0 [Note] InnoDB: New log file created, LSN=139827
2024-11-12 16:31:53 0 [Note] InnoDB: 128 rollback segments are active.
2024-11-12 16:31:53 0 [Note] InnoDB: Removed temporary tablespace data file: "E:/Android Git/sistema_educativo_padres/Sistema-educativo-padres/xamppMoodle/mysql/data/ibtmp1"
2024-11-12 16:31:53 0 [Note] InnoDB: Creating shared tablespace for temporary tables
2024-11-12 16:31:53 0 [Note] InnoDB: Setting file 'E:/Android Git/sistema_educativo_padres/Sistema-educativo-padres/xamppMoodle/mysql/data/ibtmp1' size to 12 MB. Physically writing the file full; Please wait ...
2024-11-12 16:31:53 0 [Note] InnoDB: File 'E:/Android Git/sistema_educativo_padres/Sistema-educativo-padres/xamppMoodle/mysql/data/ibtmp1' size is now 12 MB.
2024-11-12 16:31:53 0 [Note] InnoDB: 10.6.7 started; log sequence number 0; transaction id 170
2024-11-12 16:31:53 0 [Note] InnoDB: Loading buffer pool(s) from E:\Android Git\sistema_educativo_padres\Sistema-educativo-padres\xamppMoodle\mysql\data\ib_buffer_pool
2024-11-12 16:31:53 0 [Note] Plugin 'FEEDBACK' is disabled.
2024-11-12 16:31:53 0 [Note] Server socket created on IP: '::'.
2024-11-12 16:31:53 0 [Note] Server socket created on IP: '0.0.0.0'.
2024-11-12 16:31:53 0 [Note] InnoDB: Buffer pool(s) load completed at 241112 16:31:53
2024-11-12 16:31:53 0 [ERROR] Incorrect definition of table mysql.event: expected column 'definer' at position 3 to have type varchar(, found type char(141).
2024-11-12 16:31:53 0 [ERROR] mysqld.exe: Event Scheduler: An error occurred when initializing system tables. Disabling the Event Scheduler.
2024-11-12 16:31:53 0 [Note] e:\android git\sistema_educativo_padres\sistema-educativo-padres\xamppmoodle\mysql\bin\mysqld.exe: ready for connections.
Version: '10.6.7-MariaDB'  socket: ''  port: 3306  mariadb.org binary distribution
2024-11-12 16:38:22 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2024-11-12 16:38:22 0 [Note] InnoDB: Number of pools: 1
2024-11-12 16:38:22 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
2024-11-12 16:38:22 0 [Note] InnoDB: Initializing buffer pool, total size = 16777216, chunk size = 16777216
2024-11-12 16:38:22 0 [Note] InnoDB: Completed initialization of buffer pool
2024-11-12 16:38:22 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=140300,140300
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=218] with future log sequence number 256225
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=355] with future log sequence number 256225
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=19, page number=3] with future log sequence number 255135
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=19, page number=2] with future log sequence number 255135
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=217] with future log sequence number 255223
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=354] with future log sequence number 255223
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=19, page number=1] with future log sequence number 250726
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=216] with future log sequence number 250139
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=353] with future log sequence number 250139
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=215] with future log sequence number 248289
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=352] with future log sequence number 248289
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=18, page number=3] with future log sequence number 247241
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=18, page number=2] with future log sequence number 247241
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=214] with future log sequence number 247345
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=351] with future log sequence number 247345
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=18, page number=1] with future log sequence number 243291
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=7] with future log sequence number 288046
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=8] with future log sequence number 293508
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=308] with future log sequence number 293549
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=307] with future log sequence number 293312
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=12] with future log sequence number 293528
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=10] with future log sequence number 293569
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=11] with future log sequence number 293468
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=350] with future log sequence number 242942
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=349] with future log sequence number 241344
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=17, page number=3] with future log sequence number 240276
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=17, page number=2] with future log sequence number 240276
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=348] with future log sequence number 240364
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=17, page number=1] with future log sequence number 236428
